"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,resident_info,,text,"Record ID",,,,,,,,,,,,,
institution,resident_info,,dropdown,Institution,"kumc, University of Kansas Medical Center | amc, Albany Medical Center | slu, Southern Illinois University | evms, Eastern Virginia Medical School | wu, Washington University | uwm, University of Wisconsin, Madison",,autocomplete,,,y,,y,,,,,@READONLY-SURVEY
resident_kumc,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='kumc') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'kumc'",y,,,,,
resident_amc,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='amc') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'amc'",y,,,,,
resident_slu,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='slu') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'slu'",y,,,,,
resident_evms,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='evms') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'evms'",y,,,,,
resident_wu,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='wu') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'wu'",y,,,,,
resident_uwm,resident_info,,sql,"Your name","select fn.record, concat(first_name,"" "",last_name) from   (select record, value as first_name from redcap.redcap_data where field_name='first_name' and project_id = 181) fn join  (select record, value as last_name from redcap.redcap_data where field_name='last_name' and project_id = 181) ln on ln.record=fn.record join  (select record, value as email from redcap.redcap_data where field_name='email' and project_id = 181) e on e.record=fn.record join  (select record, value as active from redcap.redcap_data where field_name=""active"" and project_id = 181 and value='1') a on a.record=fn.record join  (select record, value as res_institution from redcap.redcap_data where field_name=""res_institution"" and project_id = 181 and value='uwm') i on i.record=fn.record",,autocomplete,,,y,"[institution] = 'uwm'",y,,,,,
date_of_surgery,resident_info,,text,"Date of Surgery:",,,date_mdy,,,,,y,,,,,
training_year,resident_info,,radio,"Subject Training Year","1, Intern | 2, Uro-1 | 3, Uro-2 | 4, Uro-3 | 5, Uro-4",,,,,y,,y,,,,,
